CountryCode,CountryName,RegiónBM,Región,Bloque_RTA,Population,OMCmemberdummy,OMCdetailed,GTCEcrono,GTCEmemberx2,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,REGPOLx4,REGPOLx2,ECOMx2nva,ECOMx2,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,EGOVindex2020,EGOV20Log,EGOVordx4original,EGOVordx16original,INCOMEx4,INCOMEx2,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadAlta_DUM,DensidadMenor,DensidadMayor,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,moratoria_alcanceOK,moratoria_extensiónOK,transferencias,reglamentación,impuestos,desarrollo,localización_de_datos,enfoque,NDOCSGTCEind,NDOCSGTCEconj,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$,filter_$OMC,filter_$MODrealistaBIS,filter_$MODrealistaMinimal,filter_$MODintegrado,filter_$SERVERS,filter_$INCOME,filter_$EGOV,filter_$ECOM,filter_$REG,filter_$M3
AFG,Afghanistan,1,1,15,34656032,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.3203,-.494443061336178,2,6,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
ALB,Albania,2,2,13,2876101,1,2,0,1,1,1,1,1,1,4,1,1,0,1,1,2,0,1,.7399,-.130826972678317,3,12,3,1,1,2,3,0,1,0,0,1,5,1,1,1,1,0,0,1,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
AGO,Angola,4,4,16,28813463,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.3847,-.414877813693185,2,6,2,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,2,3, ,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
ATG,Antigua and Barbuda,5,8,10,100963,1,2,3,0,0,0,0,0,0,0, , , ,0,1,1,0,0,.6055,-.217885852520929,3,10,4,1, , , , , , , , ,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,0
ARG,Argentina,5,5,4,43847430,1,2,0,1,1,1,1,1,1,3,1,1,0,1,0,3,1,0,.8279,-.0820221174070918,4,14,3,1,1,3,3,0,1,0,0,1,8,0,0,0,1,1,0,0,2,0,1,0,0,4,2,0,1,0, ,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1
ARM,Armenia,2,2,18,2924816,1,2,3,0,0,0,0,0,0,2,0,1,0,1,1,2,0,1,.7136,-.146545158631933,3,12,3,1,0,2,3,0,1,0,1,0,12,1,1,1,1,1,0,1,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
AUS,Australia,7,7,14,24210809,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9432,-.0253962079129673,4,16,4,1,1,3,4,0,0,1,0,1,17,13,1,2,2,1,1,3,2,1,1, , , , , , , , , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
AUT,Austria,2,2,1,8736668,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8914,-.0499273702498425,4,15,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6,4,3,2,1,2, ,0,4,1,0,0,1,1,1,1,1,1,1,1,1,1
BHR,Bahrain,3,3,25,1425171,1,2,0,1,1,1,1,1,1,0, ,2,1,1,0,2,0,1,.8213,-.0854981771726859,4,14,4,1,0,2,2,1,0,0,1,0,4,3,1,1,1,0,0,2,1,1,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,0,1
BGD,Bangladesh,1,1,17,162951560,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,.5189,-.284916329305073,3,9,2,0,0,1,2,1,0,0,1,0,5,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
BRB,Barbados,5,8,10,284996,1,2,3,0,0,0,0,0,0,4,1, , ,1,1,2,0,1,.7279,-.137928280620006,3,12,4,1, , , , , , , , ,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
BEL,Belgium,2,2,1,11331422,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,2,0,1,.8047,-.0943659986730453,4,14,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,0,4,1,0,0,1,1,1,1,1,1,1,1,1,1
BLZ,Belize,5,8,10,366954,1,2,3,0,0,0,0,0,0,0, ,1,0,0,2,1,0,0,.4548,-.342179543984303,2,8,2,0,1,3,4,0,0,1,0,1,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,0,0
