CountryCode,CountryName,Región,GTCEcrono,GTCEenMx,GTCEmemberx2,GTCEmemberx3,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,GTCE14dummy,EGOVordx4original,EGOVordx16original,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadMenor,DensidadMayor,DensidadAlta_DUM,INCOMEx2,INCOMEx4,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,REGPOLx4,REGPOLx2,ECOMx2,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$
AFG1,Afghanistan M1,1,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
AFG2,Afghanistan M2,1,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
AFG,Afghanistan M3,1,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
ALB1,Albania M1,2,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,5,1,1,1,1,0,0,1,1,0,0,4,1,0,1,1,0
ALB2,Albania M2,2,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,5,1,1,1,1,0,0,1,1,0,0,4,1,0,1,1,0
ALB,Albania M3,2,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,5,1,1,1,1,0,0,1,1,0,0,4,1,0,1,1,0
AGO1,Angola M1,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
AGO2,Angola M2,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
AGO,Angola M3,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
ATG1,Antigua and Barbuda M1,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
ATG2,Antigua and Barbuda M2,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
ATG3,Antigua and Barbuda M3,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
ARG1,Argentina M1,5,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,3,0,1,0,1,0,1,3,8,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
ARG2,Argentina M2,5,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,3,0,1,0,1,0,1,3,8,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
ARG3,Argentina M3,5,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,3,0,1,0,1,0,1,3,8,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
ARM1,Armenia M1,2,3,0,0,0,0,0,0,0,0,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,3,12,1,1,1,1,1,0,1,2,0,1,2,0,0,1,1,1
ARM2,Armenia M2,2,3,0,0,0,0,0,0,0,0,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,3,12,1,1,1,1,1,0,1,2,0,1,2,0,0,1,1,1
ARM3,Armenia M3,2,3,0,0,0,0,0,0,0,0,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,3,12,1,1,1,1,1,0,1,2,0,1,2,0,0,1,1,1
AUS1,Australia M1,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,17,13,1,2,2,1,1,3,2,1,1,4,1,1,1,0,0
AUS2,Australia M2,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,17,13,1,2,2,1,1,3,2,1,1,4,1,1,1,0,0
AUS3,Australia M3,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,17,13,1,2,2,1,1,3,2,1,1,4,1,1,1,0,0
AUT1,Austria M1,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
AUT2,Austria M2,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
AUT3,Austria M3,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
BHR1,Bahrain M1,3,0,1,1,2,1,1,1,1,1,0,4,14,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,0, ,1,1,1,0
BHR2,Bahrain M2,3,0,1,1,2,1,1,1,1,1,0,4,14,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,0, ,1,1,1,0
BHR3,Bahrain M3,3,0,1,1,2,1,1,1,1,1,0,4,14,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,0, ,1,1,1,0
BGD1,Bangladesh M1,1,3,0,0,0,0,0,0,0,0,0,3,9,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,5,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
BGD2,Bangladesh M2,1,3,0,0,0,0,0,0,0,0,0,3,9,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,5,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
BGD3,Bangladesh M3,1,3,0,0,0,0,0,0,0,0,0,3,9,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,5,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
BRB1,Barbados M1,8,3,0,0,0,0,0,0,0,0,0,3,12,1,1,2,0,1, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,4,1, , ,1,0
BRB2,Barbados M2,8,3,0,0,0,0,0,0,0,0,0,3,12,1,1,2,0,1, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,4,1, , ,1,0
BRB3,Barbados M3,8,3,0,0,0,0,0,0,0,0,0,3,12,1,1,2,0,1, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,4,1, , ,1,0
BEL1,Belgium M1,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
BEL2,Belgium M2,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
BEL3,Belgium M3,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
